content,score,preprocess
game bagus tpi yg ngselin drak sistem,5,bagus tapi ngselin drak sistem
"gamenya unbalance, kalo sering top up akan menambah keuntungan di roll hero",3,unbalance top up tambah untung roll hero
"game nya udah bagus, tapi kenapa pas logout selalu server eror tolong di perbaiki saya bosen main di 1 akun doang",5,bagus tapi logout server eror tolong baik bosan akun doang
moonton tolong kasig roll yg bagus jon moonton temen saya yg poke bgt dia tolong yg bagus moonton dia di bawah sy poke namanya patricia ingrid 89 ya moonton,5,tolong kasig roll bagus jon teman poke tolong bagus poke nama patricia ingrid
"anda jangan mempersulit player dong moonton, masa saya mau push rank aja selalu dipersulit, saya g peduli kalau saya harus juara 1 atau engga, yg saya pengen setiap combo yg saya bikin itu bisa jadi dan berjalan lancar, gimana orang mau topup game ini kalau playernya aja setiap main dipersulit, jangan cuma para vip aja yg dipentingkan, jgn cuma proplayer aja yg dipentingkan, seolah mereka doang yg jago didunia ini, saya terus terang kecewa sebagai player mc gogo, ingat itu",1,jangan sulit player push rank sulit peduli juara combo jalan lancar orang topup playernya sulit jangan vip penting jangan proplayer penting doang jago dunia terang kecewa player gogo
game sampah kalah menang udah disetting,1,sampah kalah menang disetting
gamenya seru banget bisa mabar dan ketemu temen dan gak ada iklan,5,seru mabar ketemu teman tidak iklan
Rame banget,5,rame
game apaan nih gk enak banget kecewa sekali sudah main nih game bikin emosi terus mendingan hapus saja game ini,1,nih tidak enak kecewa nih emosi mending hapus
sering lag babi,1,lag babi
suara pertama buka aplikasi besar sangat anj,1,suara buka aplikasi anjing
ngalag Mulu padahal sinyal baguss,5,ngalag mulu sinyal bagus
"gak perlu di download ataupun sampai memainkan,klu akal pikir kalian pingin sehat,",1,tidak download memainkanklu akal pikir pengin sehat
game super lag kayak tai,1,super lag tahi
tambahin event Vanguard coint di advance server,5,tambah event vanguard coint advance server
"kasih bintang 1 dlu ya,ntah knp klw masuk late game selalu crash/ngefram parah pdhl di loby dan di awal game lancar bgt,klw ini bug mohon di fix ya moonton,secepatnya kalau bisa,keburu gue dan yg lain bosan.",1,bintang yantah masuk late crashngefram parah loby lancar bgtklw bug mohon fix moontonsecepatnya bisakeburu gue bosan
mencari hero menjadi lebih sulit dan susah,1,cari hero sulit susah
"system blessing kenapa ada lagi bikin males main, nyari item atau crystal aja dusah",1,sistem blessing malas cari item crystal dusah
kenapa skin epic zilong saya tidak bisa dipakai,3,skin epic zilong tidak pakai
sering gagal loading,1,gagal loading
fun fun fun..... 🤗,5,fun fun fun
Hero Yang GW Suka Saat Ada Di ML 1.Aldous 2.Tharz Skil 3 3.Dan Masih Banyak Lagi,5,hero suka ml aldous tharz skil
mantap akwkakakakka,5,mantap akwkakakakka
update ga bermutu.,1,update tidak mutu
"commander wanwan meskipun sudah nerf tetap saja sakit, terlalu banyak peluru yang ditembakan, mau sekeras apapun hero-hero yang dipakai tetap saja kalah terkena skill wanwan, pakai hero keras tidak ada damage ke hero lawan, pakai hero ber damage kalah sama commander wanwan. nerf yang tidak ada niat nya.",3,commander wanwan nerf sakit peluru tembak keras apa herohero pakai kalah kena skill wanwan pakai hero keras tidak damage hero lawan pakai hero ber damage kalah commander wanwan nerf tidak niat
"uninstal, malas main pelit kasih 1 Hero b5 alpa, gua user lilia jarang d kasih Hero b5 alpa, karena kecewa gua uninstal ini game 😡😡, selain alpa gua ga minat summon 😈😈",2,uninstal malas pelit hero bintang alpa user lilia jarang hero bintang alpa kecewa uninstal alpa tidak minat summon
MINIMAL NAIKIN PERSENAN HERO G4 MONTOD,1,minimal naikin persen hero montod
please moonton untuk support mouse pakai otg tanpa aplikasi tambahan lagii pleaseeee,5,please support mouse pakai otg aplikasi tambah pleaseeee
gemyabagus banget,5,gemyabagus
moontod,1,moontod
Gua suka banget game nya tapi buat hp nya kecil mendingan jangan main kaya gini soal nya entar leg parah gua juga dah pernah keluar sendiri walau udah upgrade,5,suka tapi ponsel mending jangan entar leg parah upgrade
wahai developer permintaan saya cuma 1 yaitu tambahkan Synergy blazing dan gunner cuma itu synergy yang membuat saya naik ke mythic sama commander tharz old ini cuma pendapat saya thank you btw aku cinta muntun😘,5,developer minta tambah synergy blazing gunner synergy mythic commander tharz old dapat thank you btw cinta muntun
kalok abis ngelek gk login ulang lagi,1,kalok habis lag tidak login ulang
"K. N. T. L Game kebanyakan drama, main mabar tapi malah GB akun utama sengaja buat paling bawah untuk ngerusak sinergi lawan provider nya udah lama tapi sistem gak pernah dibnerin",1,n t l banyak drama mabar tapi gb akun utama sengaja ngerusak sinergi lawan provider tapi sistem tidak dibnerin
kasih blackist teman jg seperti di mlbb,3,blackist teman mlbb
sangat seru dan membuatku ketagihan,4,seru buat tagih
game kintil! SEHABIS NO 1 SETELAH ITU SELALU NO 8 LAMA LAMA MAKIN GAK JELAS COK!,1,kintil habis nomor nomor tidak cok
males banget main nih game sekarang mending gabung aja dah sama ml lagi lebih enak dari pada gini masak sinyal bagus tapi leg,1,malas nih mending gabung ml enak masak sinyal bagus tapi leg
kembalikan gold rush,3,kembali gold rush
"Game nya sangat bagus,tapi tolong kasih mode offline nya juga dong supaya makin bagus!!",5,bagustapi tolong mode offline bagus
"tolong itu ciptain skill hero yg berguna, kirain yu Zhong bklan sakit karna harga lima, trnyta gk juga, klau bisa di benerin dulu tu hero",1,tolong cipta skill hero guna yuk zhong bklan sakit harga trnyta tidak benerin hero
gk habis pikir,1,tidak habis pikir
"magic chess sekarang semakin ga jelas, kangen magic chess yang dulu 😔",2,tidak kangen
aku tidak dapat mengunduh resolusi game,1,tidak unduh resolusi
kesetaraan dan sesuai skil . jangan pilih pilih klo mau kasih menang.,1,tara sesuai skil jangan pilih pilih menang
game ny bagus percuma Klo mau masuk ke game ny lama dan ga gampang bosen.,5,bagus masuk tidak gampang bosan
waktu saya main game nya terus ngebbug seperti lah dan bisa dikeluarkan walaupun saya sudah pake wivi atau data,1,ngebbug keluar wivi data
"SAMPAHHH bisa ga sih di pisah aja udah jangan di rombak gameplaynya, udah enak kayak dulu, sinergi bisa di mix gamplay seru karna bia mix sinergi, sekarang malah kek gini, gua dan teman2 gua selaku player mc old kecewa dan gaakn pernah lagi mainin game ini lagi kecuali sampe di kembaliin lagi kayak dulu.",1,sampahhh tidak pisah jangan rombak gameplaynya enak sinergi mix gamplay seru bia mix sinergi teman player old kecewa gaakn mainin kecuali kembaliin
Seru main magic ces go go,5,seru ces
tambah ngaco.. persentase gak guna.,1,kacau persentase tidak
game nya udah bagus buat hilangin bosen aja dan gak ribet main nya saran gua sih tambahin waktu nya lah kek 50 detik,5,bagus hilang bosan tidak ribet saran tambah detik
"tolong balikin mc yang dulu sebelum pisah apk, tolong banget ini mah ya !!! balikin lagi ke mc yang dulu. lebih seru yang dulu daripada yang sekarang.",2,tolong balikin pisah aplikasi tolong mah balikin seru
lah kenapa kalo gw mau main selalu mental terus anjir ngak bisa main,3,mental anjir
kembalikan MCku yang duluuuuuuu,1,kembali mcku duluuuuuuu
"yang kasih ulasan ngelag, ngeframe, relog, dll hp lu aja yang busuk anjir gausah nyalahin gamenya",5,ulas lag ngeframe relog dll ponsel lu busuk anjir salah
hero roll sampah,1,hero roll sampah
"game ini pas update season 2 hero makin kuat tapi pas dapet go go card sama equipment buat tiap player tuh ga adil banget. ada comander baru juga bikin sebel bgt sumpah. tolong perbaiki lagi dong gamenya, apa lgi udh bagus sinergi yg di pake tapi tiap ada hero mau naik b2 b3 susah bgt skrng ujung2nya koin abis, dulu mah masih bagus dibanding skrng makin susah anying, kek pilih kasih bgt buat player biasa sama yg udh bayar/sering top up. taikkkk",2,update season hero kuat tapi card equipment player tuh tidak adil comander sebel sumpah tolong baik bagus sinergi tapi hero bintang bintang susah ujung koin habis mah bagus banding susah anying pilih player bayarsering top up taikkkk
"kebanyakan sinergi tambah gak jelas, hero harga 1 bintang 3 sekarang jadi gak berguna, roll nya gak sesuai, tampilan kek kartun, banyak kurang nya. masih enak dari moonton kemaren drpd yg skrg , di kira tambah bagus eh rupa nya malah kek sampah. jadi berkurang peminat game ini skrg.",1,banyak sinergi tidak hero harga bintang tidak guna roll tidak sesuai tampil kartun kurang enak kemarin bagus eh rupa sampah kurang minat
"MONTON tolong lah aku capek ketemu komander wanwan dalam satu game tu 3 biji 5 biji, gw capek montonnnnnnnnnnn tolong di nerf ke tu komander 😭😭",3,monton tolong capek ketemu komander wanwan biji biji capek montonnnnnnnnnnn tolong nerf komander
Hero/karakter yang max tidak diwariskan,1,herokarakter max tidak waris
"awal season baru sih enak"" aja tpi lama kelamaan bikin kecewa , , , , bikin nyesel dh download , , ..........",1,season enak tapi kecewa sesal download
Jangan di download kebanyakan bug nya,1,jangan download banyak bug
gak bener tokonya masa bintang 4 udh 40% rate klr nya masa gak klr klr,2,tidak toko bintang rate klr tidak klr klr
game nya seru banget aku nilai empat karna sangat seru,4,seru nilai seru
Tolong tambahin fitur bermain offline seperti MLBB karena itu berguna untuk bermain saat habis kuota dan mengisi waktu luang,3,tolong tambah fitur main offline mlbb guna main habis kuota isi luang
buat game yang menyenangkan lag tolol,1,senang lag tolol
hp sistem di taz tiga aneh setiam main mau jadiin hero harga lima yang dituju tuh susah banget sitem nya edan pisan matak jangar hetu nya kaga deatang mulu,1,ponsel sistem aneh tiam jadi hero harga tuju tuh susah sitem edan pis matak jangar hetu kagak deatang mulu
"untuk S2 rada kecewa karena ping jaringan sistem mcgg yg buruk, sehingga sangat mengganggu permainan, padahal koneksi perangkat termasuk kencang.",2,rada kecewa ping koneksi sistem buruk ganggu main koneksi perangkat kencang
"Server sering down, lag mengganggu aktivitas bermain merugikan pemain!",1,server down lag ganggu aktivitas main rugi main
nerf commander Jhonson.👎,1,nerf commander jhonson
"game banyak bug. Masa gw main reconnect terus, mana download nya gk bisa di pause lagi..",1,bug reconnect download tidak pause
"saya bisa menebak pola yg diberikan untuk membuat pemain kalah,jadi permainan tidak seru lagi",1,tebak pola main kalahjadi main tidak seru
kaga jelas bener dah sinyal nya mcgg tolong donk perbaiki janco,1,kagak sinyal tolong baik janco
terimakasih sudah kembaliin skill miya,5,terimakasih kembaliin skill miya
game yng ini bagus tapi yang ml sangat jelek bikin emosi karena game mlbsebelah itu jaringanya tiba lag sendiri beda yang MCGG tolong d perbaiki karena sangat stres kita mengalaminya,1,bagus tapi ml jelek emosi mlbsebelah jaringanya lag beda tolong baik stres alam
"tolong jaringan sering Ngebug, padahal paket internet Masi banyak, mungkin bisa di perbaiki lagi",2,tolong koneksi bug paket internet baik
"apaan iniii moonton!!!!! ngelag bngt, udah periksa koneksi hp tapi apalah yang ngelag dari game nya, kalo kaya gitu lama lama males main, baru masuk game tiba tiba aja udah kalah berturut turut, buat yang kesabarannya setipis tisu mending mikir lagi deh kalo mau main, yang ada emosi sendiri, moonton kalo masih ga diperbaikin jangan salahin kalo lama lama user jadi males main",1,lag periksa koneksi ponsel tapi apa lag malas masuk kalah sabar setip tisu mending mikir emosi tidak diperbaikin jangan salahin user malas
lagi enak enak main tiba tiba keluar bintang nya tau udah turun banyak tolong perbaiki oyy di larisi pada main MC gogo yg buat Leda lede,1,enak enak bintang turun tolong baik oyy laris gogo leda lede
"jaringan ngelag, & tolong tambahkan item penurun bintang hero",1,koneksi lag tolong tambah item turun bintang hero
bikin emosi doang karena lag parah,1,emosi doang lag parah
sinya nya ngeleg parah jangan coba mainin guys,1,sinya lag parah jangan coba mainin guys
game gila bikin depresi.,1,gila depresi
sampah min gatcha nya ga logis :(,1,sampah min gatcha tidak logis
"setelah update, setiap 2 kali refresh di gogocard yang pertama pasti selalu disconnect",2,update refresh gogocard disconnect
wifi bagus Jaringan buat main game ml enak.. main game ini Malah lag total ga jelas ini game!,1,wifi bagus koneksi ml enak lag total tidak
moonton itu sinyal/ping kenapa sering ngelag. padahal jaringan bagus.,1,sinyalping lag koneksi bagus
makin parah MCGG sinyal dll gak nayaman,1,parah sinyal dll tidak nayam
"mending MC biasa kaga crash,lah ini gogoblog di pisah malah crash.🤣🤣🤣🤣🤣",1,mending kagak crashlah gogoblog pisah crash
"ngelag mulu, peningkatan jaringan gk berguna",1,lag mulu tingkat koneksi tidak guna
"SERING TERJADI LEG PADAHAL SINYAL BAGUS, SAYA MENCURIGAI ADANYA CHEATER ATAU PIHAK YG MENGGUNAKAN KECURANGAN, JANGAN BIARKAN GAME SE SERU INI JADI RUSAK KARNA PIHAK PIHAK YANG TIDAK BERTANGGUNG JAWAB . .",3,leg sinyal bagus curiga cheater curang jangan biar seru rusak tidak tanggung
GAME GA JELAS NGENT** HERO NYA SUKA NGEBUG TOLOL SETIAP MAIN PASTI ADA BUG YANG LAIN BANYAK GAME RUSAK 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,1,tidak ngent hero suka bug tolol bug rusak
keamanan dijaga lagi min barusan ada yg ngecheat jadi lag parah semua,5,aman jaga min barusan ngecheat lag parah
"game rusak jing, jaringannya macam bujang",1,rusak anjing jaring bujang
"sinyal bagus malah ngelag parah, dan masa di rank legend nggak ada sistem ban commander",1,sinyal bagus lag parah rank legend sistem ban commander
apalah makin di mainin makin gak jelas,5,apa mainin tidak
stabilkan koneksi,1,stabil koneksi
"jaringan sering eror, padahal sinyal bagus, tolong di perbaiki lagi",3,koneksi eror sinyal bagus tolong baik
game gak balance di jaringan saya main di saat late game di penentuan final malah terjadi koneksi terputus selama 10 menit dan sering terjadi dan saya cek jaringan saya ping di 14 ms....saya cooba buka sosmed normal dan tidak ada kendala di jaringan saya device saya realme 5 pro dan ram 8 gb ram tersisa 6 gb....sangal konyol game untuk di main kan...gak balance,1,tidak balance koneksi late tentu final koneksi putus menit cek koneksi ping mssaya cooba buka sosmed normal tidak kendala koneksi device realme pro ram gb ram sisa gbsangal konyol kangak balance
selalu ada leg meski wifi bagus game to***,1,leg wifi bagus tapi
"Montoon please return Hero Tarz/Lilya to how it was before, don't nerf it",1,montoon please return hero tarzlilya tapi how was before dont nerf
"Habis update hero balancenya rusak bgst, masa 3 hero b2 harga 5 kalah sama moskov 1 b2 anj",1,habis update hero balancenya rusak bgst hero bintang harga kalah moskov bintang anjing
Hoki = menang game ngawuoorr,1,untung menang ngawuoorr
jaringan benerin woy leg leg Mulu streming yt maen game lain normal giliran maen ni game leg2 Mulu,1,koneksi benerin leg leg mulu streming yt normal gilir nih leg mulu
"Jadi ya gess Yo,ini game seru kalo salim ini",5,gess yoini seru salim
Koplok siah,5,koplok siah
hot,5,hot
"sumoner yang sudah naik lepel 3 gak usah di keluarin lagi lah mcgg ,",1,sumoner lepel tidak keluar
"update season 2 busuk banget!!! banyak sinergi yang jelek, sinergi yang bagusnya cuma dikit jadi rebutan terus.",1,update season busuk sinergi jelek sinergi bagus dikit rebut
jelek bagusan TFT,1,jelek bagus tft
saya kasih bintang 4 karna tolong tambahin pitur skin Hero kalo ada skin heronya aku mau,4,bintang tolong tambah pitur skin hero skin hero
ampas kartuku selalu busuk kartu musuh bagus' sistem ga adil,1,ampas kartu busuk kartu musuh bagus sistem tidak adil
menurut ku update terbaru ini lebih baik tapi sayang untuk mendapatkan Hero yang di inginkan susah padahal sudah di LV 9 tolong sistem nya di perbaiki ada juga kendala jaringan delay kadang merah padahal sinyal lagi bagus?tolong di perbaiki juga,3,update baru tapi sayang hero susah lv tolong sistem baik kendala koneksi delay kadang merah sinyal bagustolong baik
